ANO,MES,CODIGO_RNT,COD_MUN,COD_DPTO,ESTADO_RNT,RAZON_SOCIAL_ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,CATEGORIA,SUB_CATEGORIA,HABITACIONES,CAMAS,NUM_EMP
2024,2,61117,27787,27,ACTIVO,HOTEL MARCELO,CHOCO,TADO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,16,19,2
2024,3,61264,27006,27,ACTIVO,BELCY´S HOUSE CABAÑA,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),7,10,0
2024,3,61381,27006,27,ACTIVO,CABAÑAS EL CHILENO,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),8,14,0
2024,3,61382,27075,27,ACTIVO,HOSTAL LOS CABOS,CHOCO,BAHIA SOLANO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOSTAL,10,10,3
2024,3,61383,27001,27,ACTIVO,HOTEL EDEN DE LA QUINTA,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,8,14,1
2024,1,61600,27001,27,ACTIVO,AGENCIA DE VIAJES RUAJ,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES Y DE TURISMO,0,0,0
2024,4,61865,27006,27,ACTIVO,CABAÑA LA ESQUINA DEL MAR,CHOCO,ACANDI,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),6,12,0
2024,3,62256,27075,27,ACTIVO,THE PELICAN HOUSE,CHOCO,BAHIA SOLANO,VIVIENDAS TURÍSTICAS,FINCA TURISTICA (ALOJAMIENTO RURAL),6,19,2
2024,1,62545,27001,27,ACTIVO,HOTEL SANTA CRUZ MORENO,CHOCO,QUIBDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,HOTEL,9,15,3
2024,4,62547,27001,27,ACTIVO,ASOCIACIÓN ECOTURISTICA Y CULTURAL CHAMPA MIA,CHOCO,QUIBDO,AGENCIAS DE VIAJES,AGENCIA DE VIAJES OPERADORAS,0,0,0
